id,lowercaseId,symbol,base,quote,settle,baseId,quoteId,settleId,type,spot,margin,swap,future,option,index,active,contract,linear,inverse,subType,taker,maker,contractSize,expiry,expiryDatetime,strike,optionType,precision,limits,created,info,priceScale,valueScale,ratioScale
BTCUSD,,BTC/USD:BTC,BTC,USD,BTC,BTC,USD,BTC,swap,False,False,True,False,False,,True,True,False,True,,0.0075,-0.0025,1.0,,,,,"{'amount': 1.0, 'price': 0.5}","{'leverage': {'min': 1.0, 'max': 100.0}, 'amount': {'min': None, 'max': None}, 'price': {'min': 0.1, 'max': 10000000000.0}, 'cost': {'min': None, 'max': 1000000.0}}",,"{'symbol': 'BTCUSD', 'code': '1', 'type': 'Perpetual', 'displaySymbol': 'BTC / USD', 'indexSymbol': '.BTC', 'markSymbol': '.MBTC', 'fundingRateSymbol': '.BTCFR', 'fundingRate8hSymbol': '.BTCFR8H', 'contractUnderlyingAssets': 'USD', 'settleCurrency': 'BTC', 'quoteCurrency': 'USD', 'contractSize': '1 USD', 'lotSize': '1', 'tickSize': '0.5', 'priceScale': '4', 'ratioScale': '8', 'pricePrecision': '1', 'minPriceEp': '1000', 'maxPriceEp': '100000000000000', 'maxOrderQty': '1000000', 'description': 'BTCUSD is a BTC/USD perpetual contract priced on the .BTC Index. Each contract is worth 1 USD of Bitcoin. Funding is paid and received every 8 hours. At UTC time: 00:00, 08:00, 16:00.', 'status': 'Listed', 'tipOrderQty': '1000000', 'listTime': '1709308800000', 'majorSymbol': True, 'defaultLeverage': '0', 'fundingInterval': '8', 'maxLeverage': '100', 'steps': '50', 'riskLimits': [{'limit': '100', 'initialMargin': '1.0%', 'initialMarginEr': '1000000', 'maintenanceMargin': '0.5%', 'maintenanceMarginEr': '500000'}, {'limit': '150', 'initialMargin': '1.5%', 'initialMarginEr': '1500000', 'maintenanceMargin': '1.0%', 'maintenanceMarginEr': '1000000'}, {'limit': '200', 'initialMargin': '2.0%', 'initialMarginEr': '2000000', 'maintenanceMargin': '1.5%', 'maintenanceMarginEr': '1500000'}, {'limit': '250', 'initialMargin': '2.5%', 'initialMarginEr': '2500000', 'maintenanceMargin': '2.0%', 'maintenanceMarginEr': '2000000'}, {'limit': '300', 'initialMargin': '3.0%', 'initialMarginEr': '3000000', 'maintenanceMargin': '2.5%', 'maintenanceMarginEr': '2500000'}, {'limit': '350', 'initialMargin': '3.5%', 'initialMarginEr': '3500000', 'maintenanceMargin': '3.0%', 'maintenanceMarginEr': '3000000'}, {'limit': '400', 'initialMargin': '4.0%', 'initialMarginEr': '4000000', 'maintenanceMargin': '3.5%', 'maintenanceMarginEr': '3500000'}, {'limit': '450', 'initialMargin': '4.5%', 'initialMarginEr': '4500000', 'maintenanceMargin': '4.0%', 'maintenanceMarginEr': '4000000'}, {'limit': '500', 'initialMargin': '5.0%', 'initialMarginEr': '5000000', 'maintenanceMargin': '4.5%', 'maintenanceMarginEr': '4500000'}, {'limit': '550', 'initialMargin': '5.5%', 'initialMarginEr': '5500000', 'maintenanceMargin': '5.0%', 'maintenanceMarginEr': '5000000'}], 'underlyingSymbol': '.BTC', 'baseCurrency': 'BTC', 'settlementCurrency': 'BTC', 'valueScale': '8', 'initMarginEr': '1000000', 'maintMarginEr': '500000', 'defaultRiskLimitEv': '10000000000', 'deleverage': True, 'makerFeeRateEr': '-250000', 'takerFeeRateEr': '750000', 'marketUrl': 'https://phemex.com/trade/BTCUSD'}",4,8.0,8
cETHUSD,,USD/USD:ETH,USD,USD,ETH,USD,USD,ETH,swap,False,False,True,False,False,,True,True,False,True,,,,1.0,,,,,"{'amount': 1.0, 'price': 0.01}","{'leverage': {'min': 1.0, 'max': 100.0}, 'amount': {'min': None, 'max': None}, 'price': {'min': 0.01, 'max': 100000.0}, 'cost': {'min': None, 'max': 500000.0}}",,"{'symbol': 'cETHUSD', 'code': '1131', 'type': 'Perpetual', 'displaySymbol': 'ETH / USD', 'indexSymbol': '.cETH', 'markSymbol': '.McETH', 'fundingRateSymbol': '.cETHFR', 'fundingRate8hSymbol': '.cETHFR8H', 'contractUnderlyingAssets': 'USD', 'settleCurrency': 'ETH', 'quoteCurrency': 'USD', 'contractSize': '1.0', 'lotSize': '1', 'tickSize': '0.01', 'priceScale': '4', 'ratioScale': '8', 'pricePrecision': '2', 'minPriceEp': '100', 'maxPriceEp': '1000000000', 'maxOrderQty': '500000', 'description': 'cETH/USD perpetual contracts are priced on the .cETH Index. Each contract is worth 1 USD. Funding fees are paid and received every 8 hours at UTC time: 00:00, 08:00 and 16:00.', 'status': 'Listed', 'tipOrderQty': '125000', 'listTime': '1660579200000', 'majorSymbol': True, 'defaultLeverage': '-10', 'fundingInterval': '28800', 'maxLeverage': '100', 'steps': '1000', 'riskLimits': [{'limit': '200', 'initialMargin': '1.0%', 'initialMarginEr': '1000000', 'maintenanceMargin': '0.5%', 'maintenanceMarginEr': '500000'}, {'limit': '1200', 'initialMargin': '2.0%', 'initialMarginEr': '2000000', 'maintenanceMargin': '1.0%', 'maintenanceMarginEr': '1000000'}, {'limit': '2200', 'initialMargin': '3.0%', 'initialMarginEr': '3000000', 'maintenanceMargin': '1.5%', 'maintenanceMarginEr': '1500000'}, {'limit': '3200', 'initialMargin': '4.0%', 'initialMarginEr': '4000000', 'maintenanceMargin': '2.0%', 'maintenanceMarginEr': '2000000'}, {'limit': '4200', 'initialMargin': '5.0%', 'initialMarginEr': '5000000', 'maintenanceMargin': '2.5%', 'maintenanceMarginEr': '2500000'}, {'limit': '5200', 'initialMargin': '6.0%', 'initialMarginEr': '6000000', 'maintenanceMargin': '3.0%', 'maintenanceMarginEr': '3000000'}, {'limit': '6200', 'initialMargin': '7.0%', 'initialMarginEr': '7000000', 'maintenanceMargin': '3.5%', 'maintenanceMarginEr': '3500000'}, {'limit': '7200', 'initialMargin': '8.0%', 'initialMarginEr': '8000000', 'maintenanceMargin': '4.0%', 'maintenanceMarginEr': '4000000'}, {'limit': '8200', 'initialMargin': '9.0%', 'initialMarginEr': '9000000', 'maintenanceMargin': '4.5%', 'maintenanceMarginEr': '4500000'}, {'limit': '9200', 'initialMargin': '10.0%', 'initialMarginEr': '10000000', 'maintenanceMargin': '5.0%', 'maintenanceMarginEr': '5000000'}]}",4,,8
ETHUSD,,ETH/USD:USD,ETH,USD,USD,ETH,USD,USD,swap,False,False,True,False,False,,False,True,True,False,,0.0075,-0.0025,0.005,,,,,"{'amount': 1.0, 'price': 0.05}","{'leverage': {'min': 1.0, 'max': 20.0}, 'amount': {'min': None, 'max': None}, 'price': {'min': 0.01, 'max': 20000.0}, 'cost': {'min': None, 'max': 500000.0}}",,"{'symbol': 'ETHUSD', 'code': '11', 'type': 'Perpetual', 'displaySymbol': 'ETH / USD', 'indexSymbol': '.ETH', 'markSymbol': '.METH', 'fundingRateSymbol': '.ETHFR', 'fundingRate8hSymbol': '.ETHFR8H', 'contractUnderlyingAssets': 'ETH', 'settleCurrency': 'USD', 'quoteCurrency': 'USD', 'contractSize': '0.005 ETH', 'lotSize': '1', 'tickSize': '0.05', 'priceScale': '4', 'ratioScale': '8', 'pricePrecision': '2', 'minPriceEp': '100', 'maxPriceEp': '200000000', 'maxOrderQty': '500000', 'description': 'ETHUSD is a ETH/USD perpetual contract priced on the .ETH Index. Each contract is worth 0.005 ETH of USD. Funding is paid and received every 8 hours. At UTC time: 00:00, 08:00, 16:00.', 'status': 'Delisted', 'tipOrderQty': '100000', 'listTime': '1660579200000', 'majorSymbol': True, 'defaultLeverage': '0', 'fundingInterval': '8', 'maxLeverage': '20', 'steps': '1000K', 'riskLimits': [{'limit': '1000000', 'initialMargin': '1.0%', 'initialMarginEr': '1000000', 'maintenanceMargin': '0.5%', 'maintenanceMarginEr': '500000'}, {'limit': '2000000', 'initialMargin': '1.5%', 'initialMarginEr': '1500000', 'maintenanceMargin': '0.75%', 'maintenanceMarginEr': '750000'}, {'limit': '3000000', 'initialMargin': '2.0%', 'initialMarginEr': '2000000', 'maintenanceMargin': '1.0%', 'maintenanceMarginEr': '1000000'}, {'limit': '4000000', 'initialMargin': '2.5%', 'initialMarginEr': '2500000', 'maintenanceMargin': '1.25%', 'maintenanceMarginEr': '1250000'}, {'limit': '5000000', 'initialMargin': '3.0%', 'initialMarginEr': '3000000', 'maintenanceMargin': '1.5%', 'maintenanceMarginEr': '1500000'}, {'limit': '6000000', 'initialMargin': '3.5%', 'initialMarginEr': '3500000', 'maintenanceMargin': '1.75%', 'maintenanceMarginEr': '1750000'}, {'limit': '7000000', 'initialMargin': '4.0%', 'initialMarginEr': '4000000', 'maintenanceMargin': '2.0%', 'maintenanceMarginEr': '2000000'}, {'limit': '8000000', 'initialMargin': '4.5%', 'initialMarginEr': '4500000', 'maintenanceMargin': '2.25%', 'maintenanceMarginEr': '2250000'}, {'limit': '9000000', 'initialMargin': '5.0%', 'initialMarginEr': '5000000', 'maintenanceMargin': '2.5%', 'maintenanceMarginEr': '2500000'}, {'limit': '10000000', 'initialMargin': '5.5%', 'initialMarginEr': '5500000', 'maintenanceMargin': '2.75%', 'maintenanceMarginEr': '2750000'}], 'underlyingSymbol': '.ETH', 'baseCurrency': 'ETH', 'settlementCurrency': 'USD', 'valueScale': '4', 'initMarginEr': '5000000', 'maintMarginEr': '1000000', 'defaultRiskLimitEv': '5000000000', 'deleverage': True, 'makerFeeRateEr': '-250000', 'takerFeeRateEr': '750000', 'marketUrl': 'https://phemex.com/trade/ETHUSD'}",4,4.0,8
XRPUSD,,XRP/USD:USD,XRP,USD,USD,XRP,USD,USD,swap,False,False,True,False,False,,False,True,True,False,,0.0075,-0.0025,5.0,,,,,"{'amount': 1.0, 'price': 0.0001}","{'leverage': {'min': 1.0, 'max': 20.0}, 'amount': {'min': None, 'max': None}, 'price': {'min': 0.0001, 'max': 200.0}, 'cost': {'min': None, 'max': 500000.0}}",,"{'symbol': 'XRPUSD', 'code': '21', 'type': 'Perpetual', 'displaySymbol': 'XRP / USD', 'indexSymbol': '.XRP', 'markSymbol': '.MXRP', 'fundingRateSymbol': '.XRPFR', 'fundingRate8hSymbol': '.XRPFR8H', 'contractUnderlyingAssets': 'XRP', 'settleCurrency': 'USD', 'quoteCurrency': 'USD', 'contractSize': '5 XRP', 'lotSize': '1', 'tickSize': '0.0001', 'priceScale': '4', 'ratioScale': '8', 'pricePrecision': '4', 'minPriceEp': '1', 'maxPriceEp': '2000000', 'maxOrderQty': '500000', 'description': 'XRPUSD is a XRP/USD perpetual contract priced on the .XRP Index. Each contract is worth 5 XRP of USD. Funding is paid and received every 8 hours. At UTC time: 00:00, 08:00, 16:00.', 'status': 'Delisted', 'tipOrderQty': '100000', 'listTime': '1660579200000', 'majorSymbol': False, 'defaultLeverage': '0', 'fundingInterval': '8', 'maxLeverage': '20', 'steps': '0K', 'riskLimits': [{'limit': '5600000', 'initialMargin': '2.0%', 'initialMarginEr': '2000000', 'maintenanceMargin': '1.0%', 'maintenanceMarginEr': '1000000'}], 'underlyingSymbol': '.XRP', 'baseCurrency': 'XRP', 'settlementCurrency': 'USD', 'valueScale': '4', 'initMarginEr': '5000000', 'maintMarginEr': '1000000', 'defaultRiskLimitEv': '5000000000', 'deleverage': True, 'makerFeeRateEr': '-250000', 'takerFeeRateEr': '750000', 'marketUrl': 'https://phemex.com/trade/XRPUSD'}",4,4.0,8
LINKUSD,,LINK/USD:USD,LINK,USD,USD,LINK,USD,USD,swap,False,False,True,False,False,,False,True,True,False,,0.0075,-0.0025,0.2,,,,,"{'amount': 1.0, 'price': 0.001}","{'leverage': {'min': 1.0, 'max': 20.0}, 'amount': {'min': None, 'max': None}, 'price': {'min': 0.001, 'max': 2000.0}, 'cost': {'min': None, 'max': 500000.0}}",,"{'symbol': 'LINKUSD', 'code': '31', 'type': 'Perpetual', 'displaySymbol': 'LINK / USD', 'indexSymbol': '.LINK', 'markSymbol': '.MLINK', 'fundingRateSymbol': '.LINKFR', 'fundingRate8hSymbol': '.LINKFR8H', 'contractUnderlyingAssets': 'LINK', 'settleCurrency': 'USD', 'quoteCurrency': 'USD', 'contractSize': '0.2 LINK', 'lotSize': '1', 'tickSize': '0.001', 'priceScale': '4', 'ratioScale': '8', 'pricePrecision': '3', 'minPriceEp': '10', 'maxPriceEp': '20000000', 'maxOrderQty': '500000', 'description': 'LINKUSD is a LINK/USD perpetual contract priced on the .LINK Index. Each contract is worth 0.2 LINK of USD. Funding is paid and received every 8 hours. At UTC time: 00:00, 08:00, 16:00.', 'status': 'Delisted', 'tipOrderQty': '500000', 'listTime': '1660579200000', 'majorSymbol': False, 'defaultLeverage': '0', 'fundingInterval': '8', 'maxLeverage': '20', 'steps': '0K', 'riskLimits': [{'limit': '500000', 'initialMargin': '5.0%', 'initialMarginEr': '5000000', 'maintenanceMargin': '1.0%', 'maintenanceMarginEr': '1000000'}], 'underlyingSymbol': '.LINK', 'baseCurrency': 'LINK', 'settlementCurrency': 'USD', 'valueScale': '4', 'initMarginEr': '5000000', 'maintMarginEr': '1000000', 'defaultRiskLimitEv': '5000000000', 'deleverage': True, 'makerFeeRateEr': '-250000', 'takerFeeRateEr': '750000', 'marketUrl': 'https://phemex.com/trade/LINKUSD'}",4,4.0,8
XTZUSD,,XTZ/USD:USD,XTZ,USD,USD,XTZ,USD,USD,swap,False,False,True,False,False,,False,True,True,False,,0.0075,-0.0025,0.5,,,,,"{'amount': 1.0, 'price': 0.001}","{'leverage': {'min': 1.0, 'max': 20.0}, 'amount': {'min': None, 'max': None}, 'price': {'min': 0.001, 'max': 2000.0}, 'cost': {'min': None, 'max': 500000.0}}",,"{'symbol': 'XTZUSD', 'code': '41', 'type': 'Perpetual', 'displaySymbol': 'XTZ / USD', 'indexSymbol': '.XTZ', 'markSymbol': '.MXTZ', 'fundingRateSymbol': '.XTZFR', 'fundingRate8hSymbol': '.XTZFR8H', 'contractUnderlyingAssets': 'XTZ', 'settleCurrency': 'USD', 'quoteCurrency': 'USD', 'contractSize': '0.5 XTZ', 'lotSize': '1', 'tickSize': '0.001', 'priceScale': '4', 'ratioScale': '8', 'pricePrecision': '3', 'minPriceEp': '10', 'maxPriceEp': '20000000', 'maxOrderQty': '500000', 'description': 'XTZUSD is a XTZ/USD perpetual contract priced on the .XTZ Index. Each contract is worth 0.5 XTZ of USD. Funding is paid and received every 8 hours. At UTC time: 00:00, 08:00, 16:00.', 'status': 'Delisted', 'tipOrderQty': '200000', 'listTime': '1660579200000', 'majorSymbol': False, 'defaultLeverage': '0', 'fundingInterval': '8', 'maxLeverage': '20', 'steps': '0K', 'riskLimits': [{'limit': '500000', 'initialMargin': '5.0%', 'initialMarginEr': '5000000', 'maintenanceMargin': '1.0%', 'maintenanceMarginEr': '1000000'}], 'underlyingSymbol': '.XTZ', 'baseCurrency': 'XTZ', 'settlementCurrency': 'USD', 'valueScale': '4', 'initMarginEr': '5000000', 'maintMarginEr': '1000000', 'defaultRiskLimitEv': '5000000000', 'deleverage': True, 'makerFeeRateEr': '-250000', 'takerFeeRateEr': '750000', 'marketUrl': 'https://phemex.com/trade/XTZUSD'}",4,4.0,8
LTCUSD,,LTC/USD:USD,LTC,USD,USD,LTC,USD,USD,swap,False,False,True,False,False,,True,True,True,False,,0.0075,-0.0025,0.02,,,,,"{'amount': 1.0, 'price': 0.01}","{'leverage': {'min': 1.0, 'max': 20.0}, 'amount': {'min': None, 'max': None}, 'price': {'min': 0.01, 'max': 100000.0}, 'cost': {'min': None, 'max': 500000.0}}",,"{'symbol': 'LTCUSD', 'code': '51', 'type': 'Perpetual', 'displaySymbol': 'LTC / USD', 'indexSymbol': '.LTC', 'markSymbol': '.MLTC', 'fundingRateSymbol': '.LTCFR', 'fundingRate8hSymbol': '.LTCFR8H', 'contractUnderlyingAssets': 'LTC', 'settleCurrency': 'USD', 'quoteCurrency': 'USD', 'contractSize': '0.02 LTC', 'lotSize': '1', 'tickSize': '0.01', 'priceScale': '4', 'ratioScale': '8', 'pricePrecision': '2', 'minPriceEp': '100', 'maxPriceEp': '1000000000', 'maxOrderQty': '500000', 'description': 'LTCUSD is a LTC/USD perpetual contract priced on the .LTC Index. Each contract is worth 0.02 LTC of USD. Funding is paid and received every 8 hours. At UTC time: 00:00, 08:00, 16:00.', 'status': 'Listed', 'tipOrderQty': '50000', 'listTime': '1660579200000', 'majorSymbol': False, 'defaultLeverage': '0', 'fundingInterval': '8', 'maxLeverage': '20', 'steps': '0K', 'riskLimits': [{'limit': '5600000', 'initialMargin': '2.0%', 'initialMarginEr': '2000000', 'maintenanceMargin': '1.0%', 'maintenanceMarginEr': '1000000'}], 'underlyingSymbol': '.LTC', 'baseCurrency': 'LTC', 'settlementCurrency': 'USD', 'valueScale': '4', 'initMarginEr': '5000000', 'maintMarginEr': '1000000', 'defaultRiskLimitEv': '5000000000', 'deleverage': True, 'makerFeeRateEr': '-250000', 'takerFeeRateEr': '750000', 'marketUrl': 'https://phemex.com/trade/LTCUSD'}",4,4.0,8
GOLDUSD,,GOLD/USD:USD,GOLD,USD,USD,GOLD,USD,USD,swap,False,False,True,False,False,,False,True,True,False,,0.0075,-0.0025,0.001,,,,,"{'amount': 1.0, 'price': 0.05}","{'leverage': {'min': 1.0, 'max': 100.0}, 'amount': {'min': None, 'max': None}, 'price': {'min': 0.05, 'max': 100000.0}, 'cost': {'min': None, 'max': 500000.0}}",,"{'symbol': 'GOLDUSD', 'code': '61', 'type': 'Perpetual', 'displaySymbol': 'GOLD / USD', 'indexSymbol': '.GOLD', 'markSymbol': '.MGOLD', 'fundingRateSymbol': '.GOLDFR', 'fundingRate8hSymbol': '.GOLDFR8H', 'contractUnderlyingAssets': 'GOLD', 'settleCurrency': 'USD', 'quoteCurrency': 'USD', 'contractSize': '0.001 GOLD', 'lotSize': '1', 'tickSize': '0.05', 'priceScale': '4', 'ratioScale': '8', 'pricePrecision': '2', 'minPriceEp': '500', 'maxPriceEp': '1000000000', 'maxOrderQty': '500000', 'description': 'GOLDUSD is a GOLD/USD perpetual contract priced on the .GOLD Index. Each contract is worth 0.001 troy ounce GOLD of USD. Funding is paid and received every 8 hours. At UTC time: 00:00, 08:00, 16:00.', 'status': 'Delisted', 'tipOrderQty': '50000', 'listTime': '1660579200000', 'majorSymbol': False, 'defaultLeverage': '0', 'fundingInterval': '8', 'maxLeverage': '100', 'steps': '500K', 'riskLimits': [{'limit': '500000', 'initialMargin': '1.0%', 'initialMarginEr': '1000000', 'maintenanceMargin': '0.5%', 'maintenanceMarginEr': '500000'}, {'limit': '1000000', 'initialMargin': '1.5%', 'initialMarginEr': '1500000', 'maintenanceMargin': '1.0%', 'maintenanceMarginEr': '1000000'}, {'limit': '1500000', 'initialMargin': '2.0%', 'initialMarginEr': '2000000', 'maintenanceMargin': '1.5%', 'maintenanceMarginEr': '1500000'}, {'limit': '2000000', 'initialMargin': '2.5%', 'initialMarginEr': '2500000', 'maintenanceMargin': '2.0%', 'maintenanceMarginEr': '2000000'}, {'limit': '2500000', 'initialMargin': '3.0%', 'initialMarginEr': '3000000', 'maintenanceMargin': '2.5%', 'maintenanceMarginEr': '2500000'}, {'limit': '3000000', 'initialMargin': '3.5%', 'initialMarginEr': '3500000', 'maintenanceMargin': '3.0%', 'maintenanceMarginEr': '3000000'}, {'limit': '3500000', 'initialMargin': '4.0%', 'initialMarginEr': '4000000', 'maintenanceMargin': '3.5%', 'maintenanceMarginEr': '3500000'}, {'limit': '4000000', 'initialMargin': '4.5%', 'initialMarginEr': '4500000', 'maintenanceMargin': '4.0%', 'maintenanceMarginEr': '4000000'}, {'limit': '4500000', 'initialMargin': '5.0%', 'initialMarginEr': '5000000', 'maintenanceMargin': '4.5%', 'maintenanceMarginEr': '4500000'}, {'limit': '5000000', 'initialMargin': '5.5%', 'initialMarginEr': '5500000', 'maintenanceMargin': '5.0%', 'maintenanceMarginEr': '5000000'}], 'underlyingSymbol': '.GOLD', 'baseCurrency': 'GOLD', 'settlementCurrency': 'USD', 'valueScale': '4', 'initMarginEr': '1000000', 'maintMarginEr': '500000', 'defaultRiskLimitEv': '5000000000', 'deleverage': True, 'makerFeeRateEr': '-250000', 'takerFeeRateEr': '750000', 'marketUrl': 'https://phemex.com/trade/GOLDUSD'}",4,4.0,8
ADAUSD,,ADA/USD:USD,ADA,USD,USD,ADA,USD,USD,swap,False,False,True,False,False,,True,True,True,False,,0.0075,-0.0025,20.0,,,,,"{'amount': 1.0, 'price': 0.0001}","{'leverage': {'min': 1.0, 'max': 20.0}, 'amount': {'min': None, 'max': None}, 'price': {'min': 0.0001, 'max': 100000.0}, 'cost': {'min': None, 'max': 500000.0}}",,"{'symbol': 'ADAUSD', 'code': '71', 'type': 'Perpetual', 'displaySymbol': 'ADA / USD', 'indexSymbol': '.ADA', 'markSymbol': '.MADA', 'fundingRateSymbol': '.ADAFR', 'fundingRate8hSymbol': '.ADAFR8H', 'contractUnderlyingAssets': 'ADA', 'settleCurrency': 'USD', 'quoteCurrency': 'USD', 'contractSize': '20 ADA', 'lotSize': '1', 'tickSize': '0.0001', 'priceScale': '4', 'ratioScale': '8', 'pricePrecision': '4', 'minPriceEp': '1', 'maxPriceEp': '1000000000', 'maxOrderQty': '500000', 'description': 'ADAUSD is a ADA/USD perpetual contract priced on the .ADA Index. Each contract is worth 20 ADA of USD. Funding is paid and received every 8 hours. At UTC time: 00:00, 08:00, 16:00.', 'status': 'Listed', 'tipOrderQty': '50000', 'listTime': '1660579200000', 'majorSymbol': False, 'defaultLeverage': '0', 'fundingInterval': '8', 'maxLeverage': '20', 'steps': '0K', 'riskLimits': [{'limit': '500000', 'initialMargin': '5.0%', 'initialMarginEr': '5000000', 'maintenanceMargin': '1.0%', 'maintenanceMarginEr': '1000000'}], 'underlyingSymbol': '.ADA', 'baseCurrency': 'ADA', 'settlementCurrency': 'USD', 'valueScale': '4', 'initMarginEr': '5000000', 'maintMarginEr': '1000000', 'defaultRiskLimitEv': '5000000000', 'deleverage': True, 'makerFeeRateEr': '-250000', 'takerFeeRateEr': '750000', 'marketUrl': 'https://phemex.com/trade/ADAUSD'}",4,4.0,8
BCHUSD,,BCH/USD:USD,BCH,USD,USD,BCH,USD,USD,swap,False,False,True,False,False,,True,True,True,False,,0.0075,-0.0025,0.005,,,,,"{'amount': 1.0, 'price': 0.05}","{'leverage': {'min': 1.0, 'max': 20.0}, 'amount': {'min': None, 'max': None}, 'price': {'min': 0.05, 'max': 100000.0}, 'cost': {'min': None, 'max': 500000.0}}",,"{'symbol': 'BCHUSD', 'code': '81', 'type': 'Perpetual', 'displaySymbol': 'BCH / USD', 'indexSymbol': '.BCH', 'markSymbol': '.MBCH', 'fundingRateSymbol': '.BCHFR', 'fundingRate8hSymbol': '.BCHFR8H', 'contractUnderlyingAssets': 'BCH', 'settleCurrency': 'USD', 'quoteCurrency': 'USD', 'contractSize': '0.005 BCH', 'lotSize': '1', 'tickSize': '0.05', 'priceScale': '4', 'ratioScale': '8', 'pricePrecision': '2', 'minPriceEp': '500', 'maxPriceEp': '1000000000', 'maxOrderQty': '500000', 'description': 'BCHUSD is a BCH/USD perpetual contract priced on the .BCH Index. Each contract is worth 0.005 BCH of USD. Funding is paid and received every 8 hours. At UTC time: 00:00, 08:00, 16:00.', 'status': 'Listed', 'tipOrderQty': '100000', 'listTime': '1660579200000', 'majorSymbol': False, 'defaultLeverage': '0', 'fundingInterval': '8', 'maxLeverage': '20', 'steps': '500K', 'riskLimits': [{'limit': '500000', 'initialMargin': '5.0%', 'initialMarginEr': '5000000', 'maintenanceMargin': '1.0%', 'maintenanceMarginEr': '1000000'}, {'limit': '1000000', 'initialMargin': '5.5%', 'initialMarginEr': '5500000', 'maintenanceMargin': '1.5%', 'maintenanceMarginEr': '1500000'}, {'limit': '1500000', 'initialMargin': '6.0%', 'initialMarginEr': '6000000', 'maintenanceMargin': '2.0%', 'maintenanceMarginEr': '2000000'}, {'limit': '2000000', 'initialMargin': '6.5%', 'initialMarginEr': '6500000', 'maintenanceMargin': '2.5%', 'maintenanceMarginEr': '2500000'}, {'limit': '2500000', 'initialMargin': '7.0%', 'initialMarginEr': '7000000', 'maintenanceMargin': '3.0%', 'maintenanceMarginEr': '3000000'}, {'limit': '3000000', 'initialMargin': '7.5%', 'initialMarginEr': '7500000', 'maintenanceMargin': '3.5%', 'maintenanceMarginEr': '3500000'}, {'limit': '3500000', 'initialMargin': '8.0%', 'initialMarginEr': '8000000', 'maintenanceMargin': '4.0%', 'maintenanceMarginEr': '4000000'}, {'limit': '4000000', 'initialMargin': '8.5%', 'initialMarginEr': '8500000', 'maintenanceMargin': '4.5%', 'maintenanceMarginEr': '4500000'}, {'limit': '4500000', 'initialMargin': '9.0%', 'initialMarginEr': '9000000', 'maintenanceMargin': '5.0%', 'maintenanceMarginEr': '5000000'}, {'limit': '5000000', 'initialMargin': '9.5%', 'initialMarginEr': '9500000', 'maintenanceMargin': '5.5%', 'maintenanceMarginEr': '5500000'}], 'underlyingSymbol': '.BCH', 'baseCurrency': 'BCH', 'settlementCurrency': 'USD', 'valueScale': '4', 'initMarginEr': '5000000', 'maintMarginEr': '1000000', 'defaultRiskLimitEv': '5000000000', 'deleverage': True, 'makerFeeRateEr': '-250000', 'takerFeeRateEr': '750000', 'marketUrl': 'https://phemex.com/trade/BCHUSD'}",4,4.0,8
